Rank,PLAYER,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI
31,D.J. Augustin,Chi,PG,26,5,27.9,56.9,30.8,0.101,19,0.895,46,0.304,26,0.269,0.411,13.2,1.6,3.3,4.8,32.7,0.6,0,6.7
32,Damian Lillard,Por,PG,23,11,42.1,85.3,23.5,0.121,66,0.894,119,0.471,70,0.386,0.578,22.9,5.1,6.6,6.5,26,1,0.09,8.7
33,Danny Granger,Lac,SF,30,13,10.2,21.2,15.4,0.064,9,0.778,18,0.333,22,0.227,0.387,2.6,1.5,8.7,0.2,3.1,0.46,0.08,3.6
34,Danny Green,San,SG,26,23,22.9,47.4,16.2,0.109,11,0.818,58,0.517,101,0.475,0.65,9.3,3,7.7,0.9,5.9,1.39,0.74,5.1
35,Darren Collison,Lac,PG,26,13,18.9,39.5,21.5,0.099,45,0.867,78,0.436,12,0.083,0.501,8.5,2.1,6.3,2.4,18.6,0.46,0.08,7.4
36,David Lee,Gol,PF,30,7,30.9,64.4,20.1,0.166,19,0.789,77,0.532,0,0,0.568,13.9,9.1,16.9,2.6,13.7,0.57,0,8.9
37,David West,Ind,PF,33,19,36,75,22.5,0.137,61,0.705,235,0.506,10,0.2,0.528,15.1,6.7,11.2,3.9,20.9,0.74,0.79,8.1
38,DeAndre Jordan,Lac,C,25,13,33.7,70.3,11.8,0.193,76,0.434,63,0.73,0,0,0.648,9.6,12.5,21.3,0.8,3.2,0.92,2.54,5.4
39,DeJuan Blair,Dal,PF,24,6,13.3,27.6,21.4,0.133,13,0.615,27,0.593,0,0,0.611,6.7,6.2,27.2,0.2,2,2,0,6.1
40,DeMar DeRozan,Tor,SG,24,7,40.2,83.7,28.3,0.106,79,0.899,99,0.394,18,0.333,0.55,23.9,4.1,6.3,3.6,17,1.14,0.29,7
41,DeMarre Carroll,Atl,SF,27,7,34.9,72.7,11.8,0.129,11,0.636,27,0.519,22,0.409,0.576,8.9,4.9,7.9,1.6,8.4,0.71,0.43,4.7
42,Derek Fisher,Okc,SG,39,19,15.6,31.6,13.2,0.07,15,1,32,0.344,41,0.293,0.459,3.8,1.7,6.3,0.8,8.1,0.68,0,4.4
43,Deron Williams,Bro,PG,29,12,35.5,73.9,22.9,0.135,45,0.8,100,0.43,53,0.34,0.509,14.7,3.2,5.6,5.8,28.3,1.08,0.17,7.3
44,Devin Harris,Dal,PG,30,7,25,52,20.8,0.137,8,0.875,41,0.488,25,0.44,0.575,11.4,2.4,5.7,3.9,24.2,0.29,0.29,7.6
45,Dirk Nowitzki,Dal,PF,35,7,37.7,78.5,26.4,0.097,31,0.806,114,0.465,12,0.083,0.48,19.1,8,12.4,1.6,6.8,0.86,0.86,6.6
46,Dorell Wright,Por,SF,28,8,10.8,21.6,15.6,0.163,15,0.733,7,0.429,12,0.333,0.566,3.6,2,10.1,0.4,5,0.38,1.13,5.3
47,Draymond Green,Gol,SF,23,7,32.3,67.3,16.5,0.194,24,0.792,31,0.645,29,0.276,0.588,11.9,8.3,14.7,2.9,13.1,1.71,1.71,8.2
48,Drew Gooden,Was,C,32,10,14.3,29.6,15,0.088,8,0.75,34,0.412,4,0,0.409,3.4,4.3,17.4,0.4,4.5,0.3,0.4,5
49,Dwight Howard,Hou,C,28,6,38.3,75.9,28.3,0.124,64,0.625,106,0.547,0,0,0.581,26,13.7,19.6,1.8,8.6,0.67,2.83,9
50,Dwyane Wade,Mia,SG,32,20,34.5,71.8,27.5,0.145,90,0.767,254,0.512,24,0.375,0.56,17.8,3.9,7.4,3.9,20.8,1.5,0.25,7.5
51,Elton Brand,Atl,PF,34,7,11.5,23.9,8.2,0,5,0.8,12,0.167,0,0,0.282,1.1,3.3,16.3,0.9,12.3,0.14,0.86,5.2
52,Evan Turner,Ind,SF,25,12,12.3,25.5,15.7,0.212,5,1,28,0.393,7,0.571,0.524,3.3,2.2,10.7,1.6,21.6,0.33,0,7.4
53,Francisco Garcia,Hou,SF,32,2,11.1,20.1,14.8,0,4,0.75,3,0.667,3,0,0.451,3.5,1,4.9,0,0,0,0,0
54,Gary Neal,Cha,SG,29,4,25.8,53.8,28.7,0.129,7,0.714,33,0.424,18,0.222,0.416,11.3,2,4.9,1,7.3,0,0,4.4
55,George Hill,Ind,PG,27,19,36,74.9,16.8,0.128,61,0.721,101,0.505,77,0.364,0.561,12.1,3.8,6.4,3,14.3,1.21,0.21,5.7
56,Gerald Henderson,Cha,SG,26,4,29.6,61.6,20.4,0.119,17,0.647,28,0.5,9,0,0.438,9.8,4,8.5,2.3,13,1,0.25,6.1
57,Glen Davis,Lac,PF,28,13,12,25,13.4,0.146,0,0,41,0.61,0,0,0.61,3.8,2.8,13.2,0.7,8.7,0.23,0.23,6.5
58,Greivis Vasquez,Tor,SG,27,7,26.9,56,19.5,0.128,9,0.778,37,0.459,27,0.37,0.522,10.1,3.7,8.4,5.1,35.5,0.57,0.14,8.6
59,Harrison Barnes,Gol,SF,21,7,22.1,46,16.5,0.083,16,0.563,27,0.407,21,0.381,0.5,7.9,4,10.4,1.1,7.7,0.14,0.43,5.9
60,Hedo Turkoglu,Lac,SF,34,5,8.1,16.8,14,0,0,0,3,0.667,10,0.4,0.615,3.2,1,7.1,0.2,3.7,0.6,0,4.3
61,Ian Mahinmi,Ind,C,27,19,12.5,26,9,0.205,18,0.611,27,0.481,0,0,0.53,1.9,2.4,11.7,0.2,2,0.26,0.79,3.1
62,J.J. Redick,Lac,SG,29,13,26.9,56,19.6,0.083,26,0.962,68,0.515,65,0.4,0.599,13.3,1.7,3.6,1.5,8.4,0.85,0,4.8
63,Jae Crowder,Dal,SF,23,7,11.4,23.8,11.8,0.143,0,0,11,0.455,7,0.429,0.528,2.7,1.7,8.8,0.3,3.5,0.29,0.14,3.9
64,Jamal Crawford,Lac,SG,33,13,23.8,49.7,28.7,0.073,44,0.886,92,0.446,79,0.342,0.531,15.5,1.5,3.5,2,14,0.92,0.15,6
65,James Harden,Hou,SG,24,6,43.6,86.4,28.6,0.119,50,0.9,79,0.43,54,0.296,0.519,26.8,4.7,5.9,5.8,21.7,2,0.17,8.3
